isco_4digit,E_j_mean,E_sub_mean,E_aug_mean,delta_bfs_post,is_outlier,main_group,n_onet_berufe,sektor,employed_2019,employed_2022,delta_bfs_pre,did
2351,0.1162427724294541,0.0980280999163975,0.1427238541768716,9.104617932851117,False,2,1,Gesundheit & Bildung,5.1082006979629995,5.918517435153998,15.86305599766526,-6.758438064814143
2352,0.04227595154074407,0.03635411786238495,0.05084168224852655,-4.290954457192263,False,2,6,Gesundheit & Bildung,13.707962948715998,17.397115878819,26.912481044082188,-31.203435501274452
2411,0.46975979788128097,0.44308483416190514,0.5056266736101193,6.285684043086613,False,2,5,Finanz & Beratung,29.378351879331007,30.91757631977699,5.23931514867891,1.0463688944077036
2412,0.4328496471444841,0.3960269087232877,0.4844588392164715,4.628597310126321,False,2,3,Finanz & Beratung,16.541102020578002,19.897725421554,20.29262256408419,-15.66402525395787
2413,0.6726124735648505,0.641720540690367,0.7128984040387887,6.768932325852428,False,2,1,Finanz & Beratung,10.189695724306999,11.92703184398,17.049931290182442,-10.280998964330013
2421,0.7565430316450931,0.7196164098891189,0.8051605183828724,8.184937686697829,False,2,3,Finanz & Beratung,19.871920983171,23.15272405713,16.509742952064997,-8.324805265367168
2423,0.2063498797640238,0.18968719534133888,0.22960162673364393,25.365483554832863,False,2,2,Finanz & Beratung,17.76959204046,22.044454867828005,24.057180477944957,1.3083030768879063
2424,0.0267767583012949,0.0217226541111354,0.0341778702747607,4.2537748424225486,False,2,1,Finanz & Beratung,7.008665378073,6.644263679097,-5.199302282515166,9.453077124937714
2431,0.29866137208630633,0.2760771585649454,0.3299915967076502,-0.0256149895060899,False,2,4,Finanz & Beratung,37.301413928365996,43.93795628549201,17.791664331735234,-17.817279321241323
2432,0.07563755414430166,0.0638430704807451,0.0927811838959816,-3.069907631481635,False,2,3,Finanz & Beratung,4.176719094298,5.166502693133,23.697633872151936,-26.76754150363357
2433,0.039748504271787,0.03509007310855635,0.04642360638527795,15.415450098899068,False,2,2,Finanz & Beratung,10.563679236582,11.835475398328002,12.039329605368685,3.376120493530383
2511,0.6727576437048053,0.5998656429089372,0.7767109301868262,8.102901968455852,False,2,2,ICT & Technik,28.56980454572901,29.740223548839005,4.0966993709621455,4.006202597493706
2512,0.6802975871903346,0.6173856706044414,0.769048502941803,4.756903336283109,False,2,1,ICT & Technik,51.13406249168901,68.19933209303699,33.37358459270013,-28.616681256417017
2513,0.6894896384263604,0.6400274001190797,0.7577624810993836,-6.10848869084292,False,2,1,ICT & Technik,4.706714465151001,5.302707827998,12.662619907364148,-18.771108598207068
2521,0.752357356960318,0.6905089800766947,0.8387949678559083,31.35878800654129,False,2,3,ICT & Technik,4.195050269517,4.259532754658,1.5371087590906134,29.821679247450675
2523,0.6839177845305803,0.6168500686938004,0.778933341416174,15.853882091592324,False,2,1,ICT & Technik,2.1401428456529996,2.810723149023,31.33343667840046,-15.479554586808137
2612,0.37029343383797575,0.34672783081205316,0.40241446505633754,13.748204845047132,False,2,3,"Recht, Soziales & Kreativ",2.096557716648,1.7479735068289997,-16.626501958473174,30.374706803520304
2619,0.3187487122010043,0.28207730308020085,0.37123857894223444,0.5685905191288955,False,2,2,"Recht, Soziales & Kreativ",10.876927970861997,13.337931516611995,22.625906435555475,-22.057315916426578
2631,0.7857606888513935,0.7363056952696229,0.8530859365866877,-3.5877926989257847,False,2,1,"Recht, Soziales & Kreativ",2.530760325811,2.471595154266,-2.3378417522030572,-1.2499509467227274
2632,0.5490824765465727,0.5167618346564143,0.5927360288375377,-9.066907418159886,False,2,4,"Recht, Soziales & Kreativ",1.6128796003300003,1.5603602284769995,-3.2562487517515373,-5.810658666408349
2633,0.49205815628618926,0.4532413895119056,0.5461141026918722,-16.00037758191146,False,2,2,"Recht, Soziales & Kreativ",1.7391890905180003,1.4198766489419998,-18.359846167209824,2.3594685852983623
2634,0.22974667897856604,0.21087412920754722,0.2561207809791085,6.696095398613619,False,2,4,"Recht, Soziales & Kreativ",14.873768996779999,16.014104383519,7.666754720917554,-0.970659322303935
2635,0.04014773107671715,0.03510265288894229,0.04740507533924325,4.199509809449249,False,2,11,"Recht, Soziales & Kreativ",14.491286428769996,18.731495843976003,29.26040718364236,-25.06089737419311
2636,0.0,0.0,0.0,-1.3133456209140169,False,2,2,"Recht, Soziales & Kreativ",5.912334627228999,5.976385258751999,1.0833390794224953,-2.396684700336512
2641,0.3620335837530018,0.34670507155125163,0.38174819861797804,-6.421342346609928,False,2,3,"Recht, Soziales & Kreativ",3.705316707747,4.649945778438999,25.4938820402852,-31.91522438689513
2642,0.2048685192840449,0.1876314063311179,0.2290054663232069,3.605723087659345,False,2,1,"Recht, Soziales & Kreativ",11.387451905799,9.876316774069,-13.270177948768879,16.875901036428225
