soc_code,s_ij,E_j,E_sub_j,E_aug_j,isco_4digit,mapping_stage,ch_isco_4digit,ch_isco_label,main_group,employed_2022,employed_2024,delta_bfs,is_outlier,exposure_category,cluster_x,cluster_y,cluster
15-1242.00,0.5873682212952165,0.8417745183913997,0.7656645948260901,0.9489615701237758,2521,1,2521,Datenbankentwickler und -administratoren,2,4.259532754658,5.595270601260391,31.35878800654129,False,Hoch (0.66–1.0),0,0,0
15-1243.00,0.5173678370851301,0.7548473652825038,0.7084740756484766,0.8178017474887953,2521,1,2521,Datenbankentwickler und -administratoren,2,4.259532754658,5.595270601260391,31.35878800654129,False,Hoch (0.66–1.0),0,0,0
15-1251.00,0.5738996799126658,0.8561411518755873,0.8069105392422744,0.922441530626768,2514,1,2514,Anwendungsprogrammierer,2,12.634662618871998,13.834326672812937,9.495022464225034,False,Hoch (0.66–1.0),0,0,0
15-1252.00,0.466865731044198,0.6802975871903346,0.6173856706044414,0.769048502941803,2512,1,2512,Softwareentwickler,2,68.19933209303699,71.44350839669346,4.756903336283109,False,Hoch (0.66–1.0),0,0,0
15-1253.00,0.4635857743357168,0.6780644185604101,0.6339061602656023,0.7384080035967875,2519,1,2519,"Entwickler und Analytiker von Software und Anwendungen, anderweitig nicht genannt",2,2.6580083804119994,2.8958302583726145,8.947371261626799,False,Hoch (0.66–1.0),0,0,0
15-1254.00,0.4929630476428056,0.6894896384263604,0.6400274001190797,0.7577624810993836,2513,1,2513,Mediamatiker,2,5.302707827998,4.9787925200163,-6.10848869084292,False,Hoch (0.66–1.0),0,0,0
15-1255.01,0.3833335285695703,0.533412745530791,0.4811435046523424,0.607459239483408,2166,1,2166,Grafik- und Multimediadesigner,2,12.445369746459,13.714818712509937,10.20017076159689,False,Mittel (0.33–0.66),0,0,0
15-1299.01,0.4540096375467823,0.6604501872070505,0.5973882697555172,0.7496215859551542,2521,1,2521,Datenbankentwickler und -administratoren,2,4.259532754658,5.595270601260391,31.35878800654129,False,Hoch (0.66–1.0),0,0,0
15-1299.02,0.5257580557218928,0.7093255080774681,0.7099923288252927,0.7014136958248681,2165,1,2165,Kartografen und Vermessungsingenieure,2,1.377854227406,1.5452771434024477,12.150989028182206,False,Hoch (0.66–1.0),0,0,0
15-1299.03,0.4188184494981958,0.5964619967912621,0.5452175264921764,0.6683416193354625,2621,1,2621,Archiv- und Museumswissenschaftler,2,2.5007701291260007,3.436134062024667,37.40303524920816,False,Mittel (0.33–0.66),0,0,0
15-1299.08,0.4720958229542877,0.7481387978458466,0.6706686035777429,0.8582988855828306,2511,1,2511,Systemanalytiker,2,29.740223548839005,32.15004470820105,8.102901968455852,False,Hoch (0.66–1.0),0,0,0
15-2011.00,0.531881155007123,0.8363273666059644,0.7910466163446909,0.8968328341612823,3321,1,3321,Versicherungsvertreter,3,16.217702350982005,16.324559714630414,0.6588933582317137,False,Hoch (0.66–1.0),0,0,0
15-2021.00,0.5851918014286939,0.8221255062183342,0.8247736811155434,0.8101126972106836,2120,1,2120,"Mathematiker, Aktuare und Statistiker",2,8.721144665276999,11.404907910852772,30.77306189244979,False,Hoch (0.66–1.0),0,0,0
15-2031.00,0.5845353972840442,0.939551768827381,0.8936462995321213,0.9999999997865622,2421,1,2421,Spezialisten im Bereich Management- und Organisationsanalyse,2,23.15272405713,25.047760093979186,8.184937686697829,False,Hoch (0.66–1.0),0,0,0
15-2041.00,0.6384248420472659,0.9999999999148358,0.9999999998592024,0.9902710887133884,2120,1,2120,"Mathematiker, Aktuare und Statistiker",2,8.721144665276999,11.404907910852772,30.77306189244979,False,Hoch (0.66–1.0),0,0,0
15-2041.01,0.4923710595853942,0.7444831781060869,0.7138179631671656,0.7837261984814913,2131,1,2131,"Biologen, Botaniker, Zoologen und verwandte Berufe",2,8.866294443315,9.867582137765408,11.293192447554636,False,Hoch (0.66–1.0),0,0,0
15-2051.01,0.5201703232325714,0.7443816557684924,0.7208348963033668,0.7728346505202504,2421,1,2421,Spezialisten im Bereich Management- und Organisationsanalyse,2,23.15272405713,25.047760093979186,8.184937686697829,False,Hoch (0.66–1.0),0,0,0
15-2051.02,0.4088695254832202,0.6146362922649083,0.5691247795682098,0.6776483901461463,3252,1,3252,Fachkräfte im Bereich medizinische Dokumentation und Information,3,0.707328782249,0.6898539063011778,-2.470545011933432,False,Mittel (0.33–0.66),0,0,0
15-2099.01,0.5452976668696978,0.7910558163084317,0.7869465949861627,0.7895889577199877,3141,1,3141,Biotechniker (ohne medizinische Fachberufe),3,3.350140159418,3.229993311397246,-3.5863230283961043,False,Hoch (0.66–1.0),0,0,0
17-1011.00,0.3373326552714166,0.5549108408153365,0.4622570871273581,0.6899678967797114,2161,1,2161,Architekten,2,28.544426125306003,31.36889082452777,9.894978048683711,False,Mittel (0.33–0.66),0,0,0
17-1012.00,0.1034236684191758,0.1531380326690129,0.1240890155974452,0.1956841698559548,2162,1,2162,Landschaftsarchitekten,2,1.572515060856,1.6623136588834688,5.71050797940129,False,Niedrig (0–0.33),0,0,0
17-2011.00,0.3657594112353588,0.597814783416534,0.5335220885875344,0.6894613172376605,3115,1,3115,"Maschinenbautechniker, Techniker im Bereich Systemtechnik, Automation und Unternehmensprozesse",3,11.019605854272998,11.97433846910366,8.663945221420533,False,Mittel (0.33–0.66),0,0,0
17-2041.00,0.3973625991308464,0.6142177837421713,0.5394429065168421,0.7215948905037843,2113,1,2113,Chemiker,2,3.974386962397,2.954676445313163,-25.65705168449016,False,Mittel (0.33–0.66),0,0,0
17-2051.00,0.3233626616411829,0.5000669461306348,0.4337626889075764,0.5957138288697112,2142,1,2142,Bauingenieure,2,11.233861333084002,10.017360337809963,-10.828876725506763,False,Mittel (0.33–0.66),0,0,0
17-2051.01,0.3036506934123421,0.4949394508540659,0.4252202968917342,0.5958129308693646,2142,1,2142,Bauingenieure,2,11.233861333084002,10.017360337809963,-10.828876725506763,False,Mittel (0.33–0.66),0,0,0
17-2051.02,0.3451396821186051,0.5694240475158617,0.4907259791606707,0.6831841948328522,2142,1,2142,Bauingenieure,2,11.233861333084002,10.017360337809963,-10.828876725506763,False,Mittel (0.33–0.66),0,0,0
17-2061.00,0.5277934475239644,0.8310631022388233,0.7663653884247321,0.9210543604831196,2152,1,2152,Ingenieure im Bereich Elektronik,2,3.099915272122,3.4648638391465907,11.772856190832965,False,Hoch (0.66–1.0),0,0,0
17-2071.00,0.4215774274888677,0.6785514706263375,0.6077810571842143,0.7792322314962852,2151,1,2151,Ingenieure im Bereich Elektrotechnik,2,6.666120611251,7.680384556746472,15.215205434231253,False,Hoch (0.66–1.0),0,0,0
17-2072.00,0.4679645208313901,0.7119784136075366,0.6415605621505707,0.8117995107369477,2152,1,2152,Ingenieure im Bereich Elektronik,2,3.099915272122,3.4648638391465907,11.772856190832965,False,Hoch (0.66–1.0),0,0,0
