soc_code,s_ij,E_j,E_sub_j,E_aug_j,isco_4digit,mapping_stage,ch_isco_4digit,ch_isco_label,main_group,employed_2022,employed_2024,delta_bfs,is_outlier
13-2031.00,0.4965601929947205,0.0,0.0,0.0,2411,1,2411,"Wirtschaftsprüfer, Steuerberater und verwandte Berufe",2,30.91757631977699,32.86095748101834,6.285684043086613,False
13-2041.00,0.47801213481136257,0.0,0.0,0.0,3312,1,3312,Fachkräfte im Bereich Kredit und Darlehen,3,1.933962219203,2.110797466890553,9.143676434404602,False
13-2052.00,0.38866666280199036,0.0,0.0,0.0,2412,1,2412,Finanz- und Anlageberater,2,19.897725421554,20.81871100519237,4.628597310126321,False
13-2061.00,0.2381342484883129,0.0,0.0,0.0,2411,1,2411,"Wirtschaftsprüfer, Steuerberater und verwandte Berufe",2,30.91757631977699,32.86095748101834,6.285684043086613,False
13-2071.00,0.32087524944776313,0.0,0.0,0.0,3312,1,3312,Fachkräfte im Bereich Kredit und Darlehen,3,1.933962219203,2.110797466890553,9.143676434404602,False
13-2072.00,0.3271608371983592,0.0,0.0,0.0,3312,1,3312,Fachkräfte im Bereich Kredit und Darlehen,3,1.933962219203,2.110797466890553,9.143676434404602,False
13-2081.00,0.26543827439113465,0.0,0.0,0.0,2411,1,2411,"Wirtschaftsprüfer, Steuerberater und verwandte Berufe",2,30.91757631977699,32.86095748101834,6.285684043086613,False
13-2082.00,0.4515541277692605,0.0,0.0,0.0,2411,1,2411,"Wirtschaftsprüfer, Steuerberater und verwandte Berufe",2,30.91757631977699,32.86095748101834,6.285684043086613,False
13-2099.01,0.4639168420038665,0.0,0.0,0.0,2413,1,2413,Finanzanalysten,2,11.92703184398,12.734364557981875,6.768932325852428,False
15-1211.00,0.38668450861263526,0.0,0.0,0.0,2511,1,2511,Systemanalytiker,2,29.740223548839005,32.15004470820105,8.102901968455852,False
15-1211.01,0.3508986444553044,0.0,0.0,0.0,3252,1,3252,Fachkräfte im Bereich medizinische Dokumentation und Information,3,0.707328782249,0.6898539063011778,-2.470545011933432,False
15-1212.00,0.47720086160971353,0.0,0.0,0.0,2529,1,2529,"Fachkräfte für Datenbanken und Netzwerke, anderweitig nicht genannt.",2,4.8492228385630005,6.558325060565179,35.24486869134368,False
15-1231.00,0.30186268140423766,0.0,0.0,0.0,2522,1,2522,Systemadministratoren,2,7.8538938488240015,7.015214286634813,-10.67851919484203,False
15-1232.00,0.2914059370432353,0.0,0.0,0.0,3512,1,3512,Techniker für die Anwenderbetreuung in der Informations- und Kommunikationstechnologie,3,13.888323471840003,14.047835770181605,1.1485353049634035,False
15-1241.00,0.4371720545364654,0.0,0.0,0.0,2523,1,2523,Fachkräfte für Computernetzwerke,2,2.810723149023,3.2563318829901973,15.853882091592324,False
15-1241.01,0.3087297238149287,0.0,0.0,0.0,2153,1,2153,Ingenieure im Bereich Telekommunikationstechnik,2,1.651368126398,1.1481756527764473,-30.471247784049645,True
15-1242.00,0.5873682212952165,0.0,0.0,0.0,2521,1,2521,Datenbankentwickler und -administratoren,2,4.259532754658,5.595270601260391,31.35878800654129,False
