soc_code,isco_4digit
49-3011.00,3115
49-3022.00,3123
49-3031.00,3115
49-3043.00,3115
49-9021.00,3115
49-9041.00,3114
49-9043.00,3114
49-9045.00,2651
49-9051.00,3131
49-9052.00,2153
49-9061.00,3254
49-9062.00,3214
49-9064.00,3111
49-9071.00,2621
49-9081.00,3131
49-9092.00,3112
49-9094.00,2144
49-9097.00,3112
49-9099.01,3131
51-1011.00,3122
51-2011.00,3115
51-2023.00,3113
51-2041.00,3123
51-2061.00,3113
51-2092.00,3139
51-3011.00,3434
51-4041.00,2514
51-4051.00,3135
51-4061.00,2163
51-4062.00,2163
51-4111.00,2144
51-4191.00,3135
51-4193.00,2141
51-6011.00,1439
51-6041.00,3119
51-6052.00,2163
51-6061.00,2113
51-6092.00,2163
51-8011.00,3131
51-8012.00,3131
51-8013.00,3131
51-8013.03,3131
51-8013.04,3113
51-8021.00,2144
51-8031.00,3132
51-8091.00,3133
51-8092.00,3133
51-8093.00,3134
51-8099.01,3133
51-9011.00,3133
51-9012.00,3139
51-9071.00,2163
51-9071.06,3315
51-9081.00,3214
51-9082.00,3214
51-9083.00,3254
51-9141.00,3114
51-9151.00,3431
51-9161.00,2514
51-9162.00,2144
51-9194.00,2651
51-9195.00,2651
51-9195.03,2651
51-9195.04,2651
51-9195.05,2651
53-1041.00,3153
53-1042.00,3123
53-1042.01,2143
53-1043.00,3122
53-2011.00,3153
53-2012.00,3153
53-2021.00,3154
53-2022.00,3154
53-3011.00,3258
53-4011.00,3115
53-4013.00,3112
53-4022.00,3112
53-5011.00,3152
53-5021.00,3152
53-5022.00,3152
53-5031.00,3151
53-6011.00,3123
53-6041.00,3112
53-6051.00,3359
53-6051.01,3154
53-6051.07,3115
53-7031.00,3123
53-7062.04,3132
53-7071.00,3134
53-7072.00,3133
53-7073.00,3134
53-7121.00,3133
