ch_isco_4digit,employed_2022,employed_2024,delta_bfs,is_outlier
2211,5.371215956091,6.656084561757095,23.921373040475938,False
2212,37.08194504008001,36.04718718310065,-2.7904627329039604,False
2221,91.542329713691,96.54473765794795,5.464584482285454,False
2222,3.833663934056,4.328192560162607,12.899634256240015,False
2230,8.390799604639,7.937659127565956,-5.400444515711197,False
2250,4.151707657170999,4.017170800238256,-3.240518553862183,False
2261,5.662456788252,6.352450001581966,12.185403600103523,False
2262,6.54283315089,6.128972790338944,-6.325399884219272,False
2263,0.32615951275,0.34306282352104966,5.182528827238589,False
2264,16.459361803371998,20.11341723279264,22.200468481542472,False
2265,2.6122524179290005,2.5463057783204466,-2.5245125301036797,False
2266,4.0476662868119995,4.254445988748661,5.1086153670915495,False
2267,1.084923443269,1.0947607998133952,0.9067327842740792,False
2269,14.319088591201,16.22186493810018,13.288390073013618,False
2300,7.533233443666002,8.07510374167042,7.193063935381246,False
2310,16.214208988428997,17.17445899551822,5.922274763909165,False
2320,13.416577980547006,11.345376912521528,-15.437625533340599,False
2330,41.82404447045,50.1786723693133,19.975657554510555,False
2341,60.216806100597005,65.42008957771625,8.640915741075252,False
2342,25.699583072334,24.823979744352535,-3.4070721128704475,False
2351,5.918517435153998,6.4573758349139485,9.104617932851115,False
2352,17.397115878819,16.650613559593914,-4.290954457192263,False
2353,9.106419004463001,8.82977186766707,-3.037935511866393,False
2354,8.086655826622,9.060663182886703,12.04462483809665,False
2355,3.1470856814709998,2.883183846866544,-8.385594207308136,False
2356,0.29651316248299997,0.37372164934209173,26.03880590411172,False
2359,3.6038255099190004,3.4521903636240237,-4.207616208876465,False
2400,1.206914577763,1.0294881103547258,-14.7008305871267,False
2411,30.91757631977699,32.86095748101834,6.285684043086613,False
2412,19.897725421554,20.81871100519237,4.628597310126321,False
2413,11.92703184398,12.734364557981875,6.768932325852428,False
2421,23.152724057129998,25.047760093979186,8.184937686697829,False
2422,2.9147980542490006,5.080192459807278,74.2896888654673,True
2423,22.044454867828005,27.63613744207947,25.365483554832863,False
2424,6.644263679097,6.9268956959426475,4.2537748424225486,False
2431,43.93795628549201,43.92670158260029,-0.025614989506089904,False
2432,5.166502693133,5.007895832675806,-3.069907631481635,False
2433,11.835475398328002,13.659967202324731,15.415450098899067,False
2434,0.5239184127709999,0.43973754570004386,-16.067552698849465,False
2500,14.606854038205004,13.994555706308766,-4.191856304545378,False
2510,5.926983975152,6.576386371214601,10.956709159078612,False
2511,29.740223548839005,32.15004470820105,8.102901968455852,False
2512,68.19933209303699,71.44350839669346,4.756903336283109,False
2513,5.302707827998,4.9787925200163,-6.10848869084292,False
2514,12.634662618871998,13.834326672812937,9.495022464225034,False
2519,2.6580083804119994,2.8958302583726145,8.947371261626799,False
2521,4.259532754658,5.595270601260391,31.35878800654129,False
2522,7.8538938488240015,7.015214286634813,-10.67851919484203,False
2523,2.810723149023,3.2563318829901973,15.853882091592325,False
2529,4.8492228385630005,6.558325060565179,35.244868691343676,False
2610,5.656035376559999,5.713114463945343,1.0091713291238074,False
2611,16.150005004717997,16.56829876820517,2.5900534604476935,False
2612,1.7479735068289997,1.9882884851850045,13.748204845047132,False
2619,13.337931516611995,13.413769730663356,0.5685905191288955,False
2621,2.5007701291260007,3.436134062024667,37.40303524920816,False
2622,4.946979932616002,4.02678632154568,-18.601118735157595,False
2631,2.471595154266,2.382919443774241,-3.5877926989257847,False
2632,1.5603602284769997,1.418883811171202,-9.066907418159886,False
2633,1.4198766489419998,1.1926910239138884,-16.00037758191146,False
2634,16.014104383519,17.086424090273,6.696095398613619,False
2635,18.731495843976003,19.518126849400353,4.199509809449249,False
2636,5.976385258751999,5.897894664667229,-1.3133456209140169,False
2641,4.649945778438999,4.351356841073695,-6.4213423466099275,False
2642,9.876316774069,10.232429408201979,3.6057230876593445,False
2643,5.622935372784,5.738931732247348,2.0629146837573633,False
2650,0.8014656477520001,1.686391247350694,110.41341598118237,True
2651,4.121146544095,3.179859830652326,-22.840408691396814,False
2652,7.433138465352998,7.572343705757965,1.8727653339679284,False
2653,0.7950931779070001,0.8456964951791865,6.364451196197461,False
2654,5.632197512363999,6.4874852608908045,15.185684568931535,False
2655,1.452064785094,1.3763718494427546,-5.212779514265643,False
2656,0.971875290113,0.8048035165489785,-17.19065967245613,False
