ch_isco_4digit,ads_2020,ads_2021,ads_2022,ads_2023,ads_2024,ads_2025,delta_x28,delta_x28_pre,did_x28,is_outlier_x28,main_group
2266,238.055,279.315,308.35,307.1675,308.2975,320.79999999999995,-0.01702610669693825,29.528890382474643,-29.54591648917158,False,2
2269,656.845,834.475,966.915,862.7950000000001,734.4425,745.195,-24.042702822895496,47.20596183270025,-71.24866465559575,False,2
2300,1437.7225,1605.835,1943.1825,3005.25,3378.4325,3140.5999999999995,73.86079279738264,35.15699309150408,38.703799705878566,True,2
2310,972.5025,1200.915,1331.43,1186.09,1021.5174999999999,990.6825,-23.276664939200717,36.907617204068885,-60.1842821432696,False,2
2320,218.52,307.6275,359.855,293.19,316.125,312.3125,-12.152116824832229,64.67829031667583,-76.83040714150806,False,2
2330,163.25,208.625,227.625,199.08249999999998,176.4975,166.8325,-22.46128500823723,39.43338437978561,-61.894669388022834,False,2
2341,325.0,413.645,468.7725,363.625,300.54,262.375,-35.887877381885666,44.2376923076923,-80.12556968957796,False,2
2342,265.52,257.57,320.9675,245.5,210.33249999999998,206.665,-34.4692219617251,20.882607713166614,-55.35182967489171,False,2
2351,335.24,449.3825,482.84,575.0375,524.3525,512.05,8.597568552729681,44.028158930915154,-35.43059037818547,False,2
2352,699.4549999999999,889.2475,1050.6425,1155.3125,1181.2375,1126.3425,12.430013063434997,50.20873394285551,-37.77872087942051,False,2
2353,191.9575,210.79000000000002,280.75,252.2475,237.0825,241.04000000000002,-15.553873552983077,46.25633278199601,-61.810206334979085,False,2
2359,417.9375,427.52,541.25,582.415,522.325,516.2825,-3.496535796766735,29.505009720352927,-33.00154551711966,False,2
2410,121.0,138.75,181.1675,155.83499999999998,105.85,118.7625,-41.573405826100156,49.725206611570236,-91.29861243767039,False,2
2411,777.1825,1078.1375,1351.2225,1266.335,1094.71,1006.6175000000001,-18.983735099141704,73.86167341647555,-92.84540851561727,False,2
2412,711.9375,972.8,1220.2875,1056.29,935.0575,802.8,-23.37399997951302,71.40373979457465,-94.77773977408766,False,2
2413,374.03999999999996,609.5625,765.355,559.7725,458.5625,382.27750000000003,-40.084993238431835,104.61849000106942,-144.70348323950125,False,2
2421,907.8125,1339.04,1619.4175,1320.895,1072.635,951.5075,-33.764146676196845,78.38678141135973,-112.15092808755658,False,2
2422,298.2875,432.2475,533.475,422.83,280.355,232.465,-47.447396785228925,78.84591208146502,-126.29330886669393,False,2
2423,917.3125,1346.2475,1882.81,1717.5925,1443.5475000000001,1248.2649999999999,-23.33015545912757,105.2528445867684,-128.58300004589597,False,2
2424,146.77249999999998,212.4525,274.3975,240.935,223.345,203.7375,-18.605307992966402,86.95430002214313,-105.55960801510953,False,2
2430,716.7175,976.44,1280.375,1048.1025,830.335,792.0425,-35.14907741872498,78.64430546205445,-113.79338288077943,False,2
2431,2049.355,3110.5299999999997,4047.245,2804.315,1938.8474999999999,1802.6225,-52.09463474536382,97.48872206133149,-149.5833568066953,False,2
2432,296.6675,540.7925,643.125,448.1675,341.4175,278.21000000000004,-46.91273080660835,116.78309892387941,-163.69582973048776,False,2
2433,244.58499999999998,341.5425,399.6875,353.44,302.4175,296.3625,-24.33651290070367,63.41455935564324,-87.75107225634692,False,2
2434,43.75,68.91499999999999,82.5825,40.375,30.0825,36.0,-63.57279084551812,88.75999999999999,-152.3327908455181,False,2
2510,136.0225,169.91750000000002,268.085,162.02,125.00750000000001,156.225,-53.37019975007926,97.08871694021207,-150.45891669029132,False,2
2511,1109.2125,1484.1025,2088.4175,1294.855,915.335,774.0425,-56.17088058302519,88.27929724917452,-144.4501778321997,False,2
2512,4002.1775,5416.635,7044.4575,4261.844999999999,2958.285,2274.5249999999996,-58.00549581000383,76.01561899740831,-134.02111480741215,False,2
2513,679.9425,824.6800000000001,955.11,512.9075,303.0475,260.5175,-68.27093214394154,40.469230854079576,-108.7401629980211,False,2
