ch_isco_4digit,ch_isco_label,main_group,label_clean
3220,"Fachkräfte Geburtshilfe, Gesundheit und Pflege (mittlere Stufe), onA",3,fachkraefte geburtshilfe gesundheit und pflege mittlere stufe ona
3221,Fachkräfte Gesundheit und Pflege (mittlere Stufe),3,fachkraefte gesundheit und pflege mittlere stufe
3222,Fachkräfte Geburtshilfe (mittlere Stufe),3,fachkraefte geburtshilfe mittlere stufe
3230,Fachkräfte in traditioneller und komplementärer Medizin,3,fachkraefte in traditioneller und komplementaerer medizin
3240,Veterinärmedizinische Fachkräfte und Assistenten,3,veterinaermedizinische fachkraefte und assistenten
3250,"Sonstige Assistenzberufe im Gesundheitswesen, onA",3,sonstige assistenzberufe im gesundheitswesen ona
3251,Zahnmedizinische Assistenten und Dentalhygieniker,3,zahnmedizinische assistenten und dentalhygieniker
3252,Fachkräfte im Bereich medizinische Dokumentation und Information,3,fachkraefte im bereich medizinische dokumentation und information
3253,Fachkräfte in der öffentlichen Gesundheitsfürsorge,3,fachkraefte in der oeffentlichen gesundheitsfuersorge
3254,Augenoptiker,3,augenoptiker
3255,Physiotherapeutische Techniker und Assistenten,3,physiotherapeutische techniker und assistenten
3256,Medizinische Assistenten,3,medizinische assistenten
3257,Kontrolleure und Beauftragte in den Bereichen Umwelt- und Arbeitsmedizin sowie verwandte Berufe,3,kontrolleure und beauftragte in den bereichen umwelt und arbeitsmedizin sowie verwandte berufe
3258,Rettungsdienstpersonal,3,rettungsdienstpersonal
3259,"Assistenzberufe im Gesundheitswesen, anderweitig nicht genannt",3,assistenzberufe im gesundheitswesen anderweitig nicht genannt
3300,"Betriebswirtschaftliche und kaufmännische Fachkräfte und Verwaltungsfachkräfte, onA",3,betriebswirtschaftliche und kaufmaennische fachkraefte und verwaltungsfachkraefte ona
3310,"Fachkräfte im Bereich Finanzen und mathematische Verfahren, onA",3,fachkraefte im bereich finanzen und mathematische verfahren ona
3311,"Wertpapierhändler, -makler und Finanzmakler",3,wertpapierhaendler makler und finanzmakler
3312,Fachkräfte im Bereich Kredit und Darlehen,3,fachkraefte im bereich kredit und darlehen
3313,Fachkräfte im Rechnungswesen,3,fachkraefte im rechnungswesen
3314,"Statistische, mathematische und verwandte Fachkräfte",3,statistische mathematische und verwandte fachkraefte
3315,Schätzer und Schadensgutachter,3,schaetzer und schadensgutachter
3320,"Verkaufsfachkräfte, Einkäufer und Handelsmakler, onA",3,verkaufsfachkraefte einkaeufer und handelsmakler ona
3321,Versicherungsvertreter,3,versicherungsvertreter
3322,Verkaufsfachkräfte,3,verkaufsfachkraefte
3323,Einkäufer,3,einkaeufer
3324,Handelsmakler,3,handelsmakler
3330,"Fachkräfte für unternehmensbezogene Dienstleistungen, onA",3,fachkraefte fuer unternehmensbezogene dienstleistungen ona
3331,Fachkräfte für Abrechnungs- und Speditionsdienstleistungen,3,fachkraefte fuer abrechnungs und speditionsdienstleistungen
3332,Konferenz- und Veranstaltungsplaner,3,konferenz und veranstaltungsplaner
3333,Arbeits- und Personalvermittler,3,arbeits und personalvermittler
