soc_code,isco_4digit,mapping_stage
13-2082.00,2411,1
43-9022.00,2643,1
19-4099.03,3111,1
45-4011.00,2133,1
33-1011.00,1349,1
43-5011.00,3331,1
49-3043.00,3115,1
19-2041.01,2422,1
29-1211.00,2212,1
29-1217.00,2212,1
47-5023.00,2146,1
19-3034.00,2634,1
11-2021.00,1221,1
49-9081.00,3131,1
43-4041.00,3312,1
15-1211.00,2511,1
45-3031.00,1311,1
29-1229.04,2212,1
39-3092.00,3435,1
11-9199.01,2422,1
11-9041.01,1223,1
19-2011.00,2111,1
17-2011.00,3115,1
11-9021.00,1323,1
49-9041.00,3114,1
19-4021.00,3141,1
35-9031.00,2431,1
29-1127.00,2269,1
25-1112.00,2310,1
29-2012.00,3212,1
29-1181.00,2266,1
47-3013.00,3113,1
39-3012.00,1431,1
17-2051.00,2142,1
13-1041.04,3112,1
33-3021.06,2422,1
15-2099.01,3141,1
53-2021.00,3154,1
41-3011.00,3339,1
13-1041.07,2619,1
11-3051.00,1321,1
17-2141.02,2144,1
11-9121.02,2133,1
37-3011.00,2162,1
29-1128.00,3255,1
19-1021.00,2131,1
19-3033.00,2634,1
11-9199.11,2143,1
27-2012.04,2166,1
25-1126.00,2310,1
21-1091.00,2422,1
33-1012.00,3355,1
31-9095.00,2262,1
53-7072.00,3133,1
25-1041.00,2310,1
19-2012.00,2111,1
17-2199.05,2144,1
43-5031.00,1112,1
29-1223.00,2212,1
33-3052.00,3355,1
15-1241.01,2153,1
43-9041.00,3321,1
29-1161.00,2221,1
11-1011.03,2133,1
51-8031.00,3132,1
43-6014.00,3343,1
13-1199.04,2529,1
19-2041.00,2133,1
11-9071.00,1431,1
39-5093.00,1431,1
29-2052.00,2262,1
31-9094.00,3252,1
29-1031.00,2265,1
13-2061.00,2411,1
27-2021.00,3421,1
43-9031.00,2166,1
27-2042.00,2652,1
19-5011.00,2263,1
11-3031.03,2412,1
25-4011.00,2621,1
47-5011.00,2146,1
29-1141.04,2221,1
25-1052.00,2310,1
17-2199.10,2149,1
53-6051.07,3115,1
51-2092.00,3139,1
35-1012.00,1412,1
53-4011.00,3115,1
39-4011.00,3433,1
21-1011.00,2635,1
43-9061.00,3343,1
43-9021.00,3341,1
19-1023.00,2131,1
33-3051.04,3351,1
39-7012.00,1439,1
13-1032.00,3315,1
33-3051.00,3355,1
43-6013.00,3344,1
21-1092.00,2635,1
11-3071.00,1324,1
25-3031.00,2330,1
31-9099.02,3211,1
17-2199.03,2149,1
25-1061.00,2310,1
19-1029.02,2131,1
29-1141.02,2221,1
29-1299.02,2267,1
37-1012.00,2131,1
27-2032.00,2653,1
25-2057.00,2352,1
51-8012.00,3131,1
17-1012.00,2162,1
51-8013.03,3131,1
15-1211.01,3252,1
29-1122.00,2269,1
13-2031.00,2411,1
31-9099.01,2266,1
27-1024.00,2166,1
19-3022.00,2120,1
33-2022.00,3359,1
15-2011.00,3321,1
49-2091.00,2149,1
11-3061.00,3323,1
53-5021.00,3152,1
13-1081.01,1324,1
15-1242.00,2521,1
25-1042.00,2310,1
29-2092.00,3214,1
15-1231.00,2522,1
