ch_isco_4digit,ads_2020,ads_2021,ads_2022,ads_2023,ads_2024,ads_2025,main_group,delta_2020_2021,delta_2021_2022,delta_2022_2023,delta_2023_2024
3251,155.0625,161.5,249.875,326.4175,290.03999999999996,286.02,3,4.1515517936316,54.72136222910217,30.63231615807905,-11.14446988902251
3252,161.27,175.16500000000002,219.75,210.8325,184.60250000000002,158.375,3,8.615985614187395,25.453144178346115,-4.058020477815695,-12.44115589389681
3254,137.9775,227.395,305.5625,308.66499999999996,275.9175,235.3725,3,64.80585602725084,34.37520613909716,1.0153405604417962,-10.609398538868984
3255,100.1225,114.875,108.0,111.7925,112.1275,117.28999999999999,3,14.734450298384477,-5.984766050054406,3.511574074074078,0.29966232081758054
3256,614.54,737.96,894.865,893.9200000000001,897.1375,893.58,3,20.08331434894394,21.261992519919772,-0.10560252105065417,0.3599315374977596
3258,55.917500000000004,75.21000000000001,107.9575,124.1025,122.95750000000001,101.3575,3,34.50172128582287,43.54141736471212,14.954959127434417,-0.9226244435043581
3259,198.58499999999998,238.125,261.66499999999996,302.1675,277.27250000000004,246.91500000000002,3,19.910869401012175,9.885564304461928,15.478761011216655,-8.238807945924027
3310,300.0625,419.935,598.48,439.75,342.8425,302.34749999999997,3,39.9491772547386,42.51729434317216,-26.522189546852026,-22.036952814098925
3311,172.0825,245.10500000000002,342.2475,264.5,181.70999999999998,165.66500000000002,3,42.434588060959136,39.633014422390396,-22.716747383107254,-31.30056710775048
3312,164.2525,187.5625,236.83499999999998,170.625,153.875,131.795,3,14.191564816365048,26.26991002998999,-27.95617201849388,-9.816849816849818
3313,300.71000000000004,353.075,515.74,531.855,467.59000000000003,407.52,3,17.41378736989124,46.07094809884586,3.1246364447202097,-12.083180566131743
3321,397.64750000000004,447.705,714.3325,649.04,576.665,551.7925,3,12.588410589781136,59.554282395774,-9.140351306989395,-11.151084678910392
3322,4393.0725,5849.5875,7379.165,8230.5225,7778.2925,7773.172500000001,3,33.15481362986837,26.14846773383594,11.537314858794987,-5.494547885629371
3323,625.295,838.3125,1138.2725,943.3325,773.3525,679.045,3,34.06672050792027,35.7814060985611,-17.125951826122485,-18.019097190015188
3330,863.105,1111.4875,1321.4625,1180.165,1017.655,925.7125,3,28.777784858157457,18.891350554999505,-10.692509246384223,-13.770108417043378
3331,204.1675,272.9575,371.75,296.625,271.2075,278.3325,3,33.69292370235223,36.1933634356997,-20.208473436449225,-8.568900126422257
3332,119.355,183.2675,303.2925,269.255,221.135,202.125,3,53.54823844832642,65.4916992920185,-11.222664589463974,-17.871534419045148
3333,90.41499999999999,83.0825,93.0825,85.7475,103.71000000000001,111.46,3,-8.10982690925178,12.036229049438811,-7.880106357263711,20.94813259861804
3334,553.625,754.2925,1257.4175,2142.5,1990.6275,1907.4650000000001,3,36.2461052156243,66.70157796875881,70.38891219503466,-7.088564760793463
3339,70.5825,79.91499999999999,80.5,78.7075,66.2075,69.4575,3,13.222115963588704,0.7320277795157455,-2.2267080745341663,-15.881586888161866
3340,304.1275,345.0175,432.885,421.05,340.39750000000004,340.78999999999996,3,13.445018947645309,25.467548747527303,-2.733982466474925,-19.155088469302928
3342,196.0825,246.625,295.875,305.25,302.045,292.25,3,25.77614014509198,19.969589457678662,3.1685678073510775,-1.0499590499590448
3343,716.6875,862.615,1224.6875,1114.14,931.2875,892.5875000000001,3,20.361384843463853,41.97382378001773,-9.026588415412087,-16.411985926364736
3344,284.6675,390.1875,493.39250000000004,487.15999999999997,432.675,393.765,3,37.0678071785504,26.45010411661061,-1.2631930967738811,-11.18421052631578
3350,59.6275,65.7075,76.78999999999999,76.8325,82.53999999999999,70.3725,3,10.196637457548947,16.866415553780005,0.055345748144294805,7.42849705528259
3352,59.917500000000004,65.98,83.4375,98.605,95.125,84.60249999999999,3,10.118079025326491,26.458775386480742,18.178277153558057,-3.5292327975254842
3353,217.945,246.5675,351.9475,444.8075,459.2175,456.6,3,13.132900502420336,42.738803775842314,26.38461702384589,3.239603648769404
3355,61.165,73.2075,95.29249999999999,73.4325,76.58500000000001,66.42,3,19.688547371862988,30.16767407710958,-22.939895584647257,4.293058250774525
3411,74.0,94.9575,119.27,144.46,124.52000000000001,113.8125,3,28.32094594594594,25.603559487138984,21.120147564349807,-13.803128893811433
3412,72.2075,57.75,69.5,81.9175,73.5425,80.8325,3,-20.022158363050927,20.346320346320347,17.866906474820148,-10.223700674459058
3422,125.08749999999999,120.8775,148.3325,139.8125,135.2675,133.145,3,-3.3656440491655797,22.71307728899093,-5.743852493553341,-3.250782297720152
3423,402.2075,422.9525,395.515,397.25,524.75,552.8325,3,5.15778547142955,-6.4871350801803995,0.43866857135633636,32.095657646318436
3432,87.2075,103.6225,136.1875,114.28999999999999,80.75,67.225,3,18.822922340395042,31.42657241429226,-16.078935291418087,-29.34639951001837
3434,538.1675,546.8825,833.0675,882.535,790.6875,757.625,3,1.6193842994978387,52.330253756519895,5.937994220156226,-10.4072359736441
3500,690.3,843.875,1114.3,792.1949999999999,633.515,519.6800000000001,3,22.247573518759967,32.04562287068582,-28.90648837835413,-20.030421802712713
3512,1009.52,1557.0625,2146.6875,1397.23,892.9399999999999,796.9375,3,54.237905143038276,37.86777987396139,-34.912277637057095,-36.09212513329946
3521,86.56,116.60000000000001,158.765,141.9925,122.12,116.605,3,34.70425138632163,36.16209262435675,-10.564356123830807,-13.995457506558445
