ch_isco_4digit,year,quarter,count_ads
2143,2020,4,44.83
2143,2021,1,51.92
2143,2021,2,53.37
2143,2021,3,44.62
2143,2021,4,35.28
2143,2022,1,68.5
2143,2022,2,59.75
2143,2022,3,49.92
2143,2022,4,60.5
2143,2023,1,77.17
2143,2023,2,82.33
2143,2023,3,76.75
2143,2023,4,55.95
2143,2024,1,62.95
2143,2024,2,60.28
2143,2024,3,60.83
2143,2024,4,62.17
2143,2025,1,54.65
2143,2025,2,40.53
2143,2025,3,44.8
2143,2025,4,34.48
2144,2020,1,128.07999999999998
2144,2020,2,93.58
2144,2020,3,99.75
2144,2020,4,113.5
2144,2021,1,141.0
2144,2021,2,149.83
2144,2021,3,169.83
2144,2021,4,216.0
2144,2022,1,213.5
2144,2022,2,229.17
2144,2022,3,223.17
2144,2022,4,203.2
2144,2023,1,213.53
2144,2023,2,223.53
2144,2023,3,196.17
2144,2023,4,198.58
2144,2024,1,198.75
2144,2024,2,185.12
2144,2024,3,175.5
2144,2024,4,176.28
2144,2025,1,188.8
2144,2025,2,169.6
2144,2025,3,167.07999999999998
2144,2025,4,147.33
2149,2020,1,3356.73
2149,2020,2,2569.33
2149,2020,3,2493.72
2149,2020,4,2574.62
2149,2021,1,3160.03
2149,2021,2,3587.7
2149,2021,3,3884.84
2149,2021,4,4117.92
2149,2022,1,4595.27
2149,2022,2,4770.1
2149,2022,3,4566.27
2149,2022,4,4408.7
2149,2023,1,4683.67
2149,2023,2,4246.92
2149,2023,3,3979.2
2149,2023,4,3740.95
2149,2024,1,3736.92
2149,2024,2,3596.42
2149,2024,3,3317.46
2149,2024,4,3246.13
2149,2025,1,3306.27
2149,2025,2,3125.42
2149,2025,3,2996.97
2149,2025,4,3005.67
2151,2020,1,190.5
2151,2020,2,166.33
2151,2020,3,144.33
2151,2020,4,137.0
2151,2021,1,197.17
2151,2021,2,164.0
2151,2021,3,211.5
2151,2021,4,229.92
2151,2022,1,246.0
2151,2022,2,270.25
2151,2022,3,266.58
2151,2022,4,266.08
2151,2023,1,239.92
