soc_code,isco_4digit,main_group,E_j,delta_bfs,is_outlier,employed_2022,employed_2024,qualification_level,sector
19-1042.00,2131,2,0.4472559860602461,11.293192447554636,False,8.866294443315,9.867582137765408,4,Sonstiges
19-2011.00,2111,2,0.7511555907493493,7.279471975928281,False,2.583152246271001,2.7711920901338605,4,Sonstiges
19-2012.00,2111,2,0.7996173242057041,7.279471975928281,False,2.583152246271001,2.7711920901338605,4,Sonstiges
19-2021.00,2112,2,0.6493642871831736,-36.19121317386976,True,0.4304312644699999,0.2746529679786791,4,Sonstiges
19-2031.00,2113,2,0.635717570247751,-25.65705168449016,False,3.974386962397,2.954676445313163,4,Sonstiges
19-2032.00,2146,2,0.6698554249100244,,,,,4,Sonstiges
19-2041.00,2133,2,0.3548238429945872,19.90030126565172,False,3.499424292972,4.195820269836831,4,Sonstiges
19-2041.01,2422,2,0.43882604971684536,74.2896888654673,True,2.9147980542490006,5.080192459807278,4,Sonstiges
19-2041.02,2133,2,0.5745384252852183,19.90030126565172,False,3.499424292972,4.195820269836831,4,Sonstiges
19-3011.01,2631,2,0.7857606888513935,-3.5877926989257847,False,2.471595154266,2.382919443774241,4,Sonstiges
19-3022.00,2120,2,0.8064871530742821,30.77306189244979,False,8.721144665276999,11.404907910852772,4,Sonstiges
19-3033.00,2634,2,0.2043995046921169,6.696095398613619,False,16.014104383519,17.086424090273,4,Sonstiges
19-3034.00,2634,2,0.0,6.696095398613619,False,16.014104383519,17.086424090273,4,Sonstiges
19-3039.02,2634,2,0.454241894142551,6.696095398613619,False,16.014104383519,17.086424090273,4,Sonstiges
19-3039.03,2634,2,0.2603453170795963,6.696095398613619,False,16.014104383519,17.086424090273,4,Sonstiges
19-3051.00,2164,2,0.4488321698815286,34.67581706470658,False,2.986436137319,4.022007269050025,4,Sonstiges
19-3091.00,2632,2,0.47548754042524577,-9.066907418159886,False,1.5603602284769995,1.418883811171202,4,Sonstiges
19-3092.00,2632,2,0.6909967571154854,-9.066907418159886,False,1.5603602284769995,1.418883811171202,4,Sonstiges
19-3093.00,2633,2,0.3923831894907097,-16.00037758191146,False,1.4198766489419998,1.1926910239138884,4,Sonstiges
19-3094.00,2633,2,0.5917331230816688,-16.00037758191146,False,1.4198766489419998,1.1926910239138884,4,Sonstiges
19-3099.01,2164,2,0.7169441816174161,34.67581706470658,False,2.986436137319,4.022007269050025,4,Sonstiges
19-4012.01,2132,2,0.6369811429902775,24.33092413269468,False,2.12185711709,2.6381245624533496,4,Sonstiges
19-4013.00,3111,3,0.20868100055753422,-7.007106968561465,False,8.995486047674996,8.365162717972387,3,Sonstiges
