ch_isco_4digit,E_j_mean,E_sub_mean,E_aug_mean,main_group,n_onet_berufe,periode,delta_bfs,post_ki
3422,0.0,0.0,0.0,3,4,2021_2022,4.033951265428787,0
3423,0.007257875401940906,0.0061400623053429505,0.008881780081220635,3,4,2021_2022,4.591683981772034,0
3431,0.0415376547060208,0.03298776310124908,0.05409449539887193,3,2,2021_2022,2.810320805447536,0
3432,0.17462574206982837,0.14923919582883707,0.21141081224253852,3,1,2021_2022,12.603871478322231,0
3433,0.00379730736533494,0.003120388843619879,0.004786518433534618,3,1,2021_2022,-14.057667456898637,0
3434,0.011078929328162464,0.008788872765727472,0.014442687336211154,3,3,2021_2022,16.32997461266826,0
3435,0.0,0.0,0.0,3,2,2021_2022,15.84360503826884,0
3512,0.20679688311784347,0.18637115213886662,0.2357487610421401,3,2,2021_2022,17.06260925375976,0
3521,0.09487820772602096,0.08356508963322509,0.11110493487885968,3,5,2021_2022,14.22558574700418,0
1112,0.07745395396712033,0.07044845960517118,0.08732018456867625,1,4,2022_2023,17.907044634564254,1
1120,0.1844079761990149,0.151123455729332,0.23307057775135803,1,1,2022_2023,-5.381313108107301,1
1211,0.34573013934883406,0.2990595424836297,0.41311548090968886,1,2,2022_2023,3.828996573291795,1
1212,0.14027751556693638,0.12170732937710331,0.16706369593840606,1,3,2022_2023,6.368261871334166,1
1219,0.016132314374906174,0.013495448131904387,0.01997264438877462,1,9,2022_2023,17.219033797558744,1
1221,0.03136879663500022,0.02468706083650605,0.04119259336662147,1,2,2022_2023,-2.686326875264546,1
1223,0.43178006605035396,0.37845541917924685,0.508415247015918,1,2,2022_2023,13.04572630363667,1
1311,0.027369558894973462,0.02210094932856289,0.03509007668370324,1,3,2022_2023,44.24432344347477,1
1321,0.08766827360007595,0.07386624844669047,0.1077381310584235,1,2,2022_2023,4.961264075535612,1
1323,0.0,0.0,0.0,1,1,2022_2023,2.075241520555386,1
1324,0.2570273593718578,0.21832859549578945,0.31319101652553766,1,3,2022_2023,17.861638722668403,1
1341,0.0,0.0,0.0,1,2,2022_2023,-3.3361978619675883,1
1342,0.02675317945941449,0.0214869071540835,0.034476150846762935,1,1,2022_2023,4.243708687492771,1
1344,0.0,0.0,0.0,1,1,2022_2023,16.04336507571575,1
1345,0.0,0.0,0.0,1,1,2022_2023,-8.260582869194344,1
1349,0.11861279960653433,0.13035612496119123,0.09965687733037579,1,4,2022_2023,-4.873778487658091,1
1411,0.0,0.0,0.0,1,2,2022_2023,3.1415593156617265,1
1412,0.0,0.0,0.0,1,3,2022_2023,-2.032525710125411,1
1420,0.0,0.0,0.0,1,2,2022_2023,-11.219362587703628,1
1431,0.021158781906950662,0.020180994205057083,0.02243517851904383,1,10,2022_2023,-3.9133459367202654,1
1439,0.027270859342187263,0.02671552318600738,0.027847389092554985,1,4,2022_2023,-4.436379449689723,1
2111,0.7753864574775267,0.7211657581367761,0.8500370667448944,2,2,2022_2023,14.712593383910267,1
2112,0.6493642871831736,0.621278341367913,0.6856227436007518,2,1,2022_2023,-46.79354209584481,1
2113,0.3956271632044005,0.35390863133604267,0.45502012368279404,2,4,2022_2023,6.554243990009537,1
2114,0.3403000956002167,0.32059645601967807,0.3668584993845172,2,1,2022_2023,31.788861291817028,1
2120,0.8762042197358174,0.8595865341493228,0.8928707985939375,2,3,2022_2023,39.88081361333495,1
2131,0.47761478700192167,0.4344826067226493,0.5383530759155163,2,15,2022_2023,14.106874287515229,1
2132,0.6369811429902775,0.5733838862895023,0.7271924017859097,2,1,2022_2023,21.698462749269,1
2133,0.3353922356805041,0.29140161421737837,0.39881552385727764,2,11,2022_2023,5.578758098139226,1
2141,0.3503073300172126,0.30524758820910336,0.4152062121240815,2,2,2022_2023,-8.319110386565969,1
2142,0.5741356234427573,0.498647245826338,0.6829842959303233,2,4,2022_2023,0.2741697950609464,1
2143,0.1525131091312654,0.12935570402226557,0.18613411017566103,2,3,2022_2023,11.956472846355142,1
2144,0.4340289124098309,0.3830356587389717,0.5071080075590491,2,8,2022_2023,11.28662832659495,1
2145,0.47729282849555166,0.41247298172485375,0.5709110302143539,2,1,2022_2023,-11.346121102001169,1
2149,0.5162671748038133,0.45801427590490656,0.5995512269769235,2,11,2022_2023,-0.4013957858853363,1
2151,0.6785514706263375,0.6077810571842143,0.7792322314962852,2,1,2022_2023,13.290754347682512,1
2152,0.6518945286459308,0.5877143808715438,0.742844313024246,2,4,2022_2023,-5.90435143927041,1
2153,0.30136741556674196,0.26709869429006494,0.3503840993917047,2,2,2022_2023,-5.4240524547169615,1
2161,0.5549108408153365,0.4622570871273581,0.6899678967797114,2,1,2022_2023,8.98006749234538,1
2162,0.07656901633450647,0.06204450779872261,0.09784208492797743,2,2,2022_2023,6.003217227988317,1
2163,0.16472315102420862,0.14389469108391678,0.19469486568605657,2,5,2022_2023,12.501896118713049,1
2164,0.5828881757494724,0.5191565310016992,0.6738294218340728,2,2,2022_2023,17.982065857543038,1
2165,0.6354649995686827,0.6269652175887577,0.6421676115998805,2,2,2022_2023,19.18444123786303,1
2166,0.22654660506630359,0.20192000654342407,0.2616745213647128,2,5,2022_2023,12.621892674286158,1
2212,0.106941759350677,0.0928947186496588,0.12719553089307037,2,9,2022_2023,1.0068373592609527,1
2221,0.03820337244279497,0.03299172810537368,0.04573213425625325,2,8,2022_2023,7.832671351446356,1
2230,0.2598173318743086,0.22729227934567653,0.3065949893947548,2,2,2022_2023,1.411339302415089,1
2250,0.29987819782045183,0.2621055944838244,0.3542209771234277,2,1,2022_2023,6.042185633009926,1
2261,0.08418160000987747,0.07165718290055827,0.10234862664770107,2,3,2022_2023,9.675943525606703,1
2262,0.18513727414459646,0.16680189485357153,0.211131069288526,2,3,2022_2023,-1.8234819488506555,1
2264,0.0,0.0,0.0,2,1,2022_2023,18.678390399997863,1
2265,0.06960700006846897,0.05879107668843106,0.08532588084915894,2,1,2022_2023,-2.217702072564278,1
2266,0.125868282223874,0.1080491956271715,0.15165604139893327,2,2,2022_2023,17.14191145653162,1
2267,0.11842704152162901,0.10970051325915714,0.13050359934019976,2,3,2022_2023,27.955684043387063,1
2269,0.07032543371767876,0.06227888015915338,0.08183918014701655,2,17,2022_2023,11.1402395146912,1
2310,0.3542578081595079,0.31157450668560416,0.41551576154683034,2,29,2022_2023,13.706474765712906,1
